activity,timestamp,landmark_id,x,y
squat,0,0,0.5242196015485129,0.4297456307274149
squat,0,1,0.683028997566125,0.40446770563746215
squat,0,2,0.49889018315275835,0.6366243948613588
squat,0,3,0.6543591555320181,0.4316063160163561
squat,0,4,0.47583787535451544,0.461155036479287
squat,0,5,0.43452573905110087,0.5880641519974099
squat,0,6,0.6472036829035651,0.5799445397148234
squat,0,7,0.5178067997245577,0.4743268262853751
squat,0,8,0.559399948099052,0.5341644810498192
squat,0,9,0.41606721358340726,0.45411821728595203
squat,0,10,0.514430605320099,0.5173968499309117
squat,0,11,0.6886568985402295,0.49780382305273574
squat,0,12,0.6944631431500119,0.6493746761642497
squat,0,13,0.6188663039901457,0.5111525782737921
squat,0,14,0.40035604560199634,0.37279961410457574
squat,0,15,0.5099890081407816,0.4215715652974691
squat,0,16,0.4194169790157257,0.5035555224062774
squat,0,17,0.4674283751564434,0.5918504597232731
squat,0,18,0.42058453771409826,0.5073658380860863
squat,0,19,0.47909399740044323,0.42122390503386514
squat,0,20,0.5236536225460064,0.48112398828062863
squat,0,21,0.36395101130280527,0.39315173426862277
squat,0,22,0.42847245450911964,0.6451376295836443
squat,0,23,0.5067452696111547,0.4932124537244854
squat,0,24,0.4899663815041503,0.3167066571731476
squat,0,25,0.4506957925903832,0.6579836370163243
squat,0,26,0.36756544748579956,0.5658689032707334
squat,0,27,0.5615481449351408,0.4727187854588046
squat,0,28,0.5664370147769905,0.5002903924695076
squat,0,29,0.3808287346901785,0.34132505484877373
squat,0,30,0.42766005660552964,0.3539436452806735
squat,0,31,0.5140249291708635,0.34632005005707334
squat,0,32,0.4248851507708566,0.5989382058517465
squat,1,0,0.44247713285543083,0.3021824212423141
squat,1,1,0.5696668610140809,0.19387142954697478
squat,1,2,0.5736357418801921,0.4138342476602571
squat,1,3,0.6321788490189592,0.32946324254937415
squat,1,4,0.48204368899383415,0.5312391236125665
squat,1,5,0.41970616713946046,0.5049948197846661
squat,1,6,0.43830019665776576,0.43260245751442006
squat,1,7,0.6987838924758122,0.5129405947283988
squat,1,8,0.44127213848419533,0.4499890710575831
squat,1,9,0.5504717337564675,0.4939641539382046
squat,1,10,0.4690562477042852,0.495925058280621
squat,1,11,0.4316337782128107,0.43637264481426546
squat,1,12,0.5772629585250991,0.40063390151956235
squat,1,13,0.6078750856696779,0.3821911484875221
squat,1,14,0.7000397008025722,0.5436193512219546
squat,1,15,0.3941972536502068,0.523235598134895
squat,1,16,0.5711041824096221,0.5072182458968955
squat,1,17,0.4479513754107851,0.3061861205856188
squat,1,18,0.4213206365105006,0.5974896514271211
squat,1,19,0.4831339105752178,0.4530769248811246
squat,1,20,0.4897562339915488,0.5410617603506577
squat,1,21,0.4437034435372577,0.2348052627122293
squat,1,22,0.6347588910499011,0.5077512337320301
squat,1,23,0.2742490767608671,0.606570497657092
squat,1,24,0.7360506344232879,0.44170061042351816
squat,1,25,0.577095191515081,0.6595440511411084
squat,1,26,0.43744075870990906,0.5532438207837178
squat,1,27,0.5112572817547814,0.3295733196630226
squat,1,28,0.46944286431901905,0.4777953277486938
squat,1,29,0.5725487890548128,0.5612734224188011
squat,1,30,0.4988893127732886,0.5255000043257019
squat,1,31,0.5542455428568648,0.3888975251114282
squat,1,32,0.5902312094227241,0.4789195277748718
squat,2,0,0.5365721959691191,0.4793019106720307
squat,2,1,0.4154071168114293,0.5335743440421528
squat,2,2,0.5279762528788459,0.5212408590531584
squat,2,3,0.5643874214904161,0.5946074688023495
squat,2,4,0.5619054051046152,0.49737635339423797
squat,2,5,0.5793881188449924,0.8893770896694171
squat,2,6,0.4466076865715017,0.4129567257737893
squat,2,7,0.5351858108344014,0.5263711388781602
squat,2,8,0.6288637573677964,0.568436967494865
squat,2,9,0.5566329157077159,0.37561136155632713
squat,2,10,0.49013888401184963,0.454514297352914
squat,2,11,0.3510879888112509,0.5072244769995979
squat,2,12,0.3519228213273127,0.6129735051435362
squat,2,13,0.5155046565693179,0.3939787005744193
squat,2,14,0.4992008419362514,0.5365627718609094
squat,2,15,0.5168476329524975,0.5353334830636283
squat,2,16,0.5020179785510501,0.3640830539463643
squat,2,17,0.42688647565065624,0.3507678123847133
squat,2,18,0.2776020226879083,0.582457361249533
squat,2,19,0.48681182058540357,0.4230029481839002
squat,2,20,0.501748217834795,0.5411296613935835
squat,2,21,0.5106265682257485,0.39973637313208926
squat,2,22,0.5031519373962877,0.37151240991533796
squat,2,23,0.5650677121339835,0.4678307380851615
squat,2,24,0.46863363679655096,0.6765848506407297
squat,2,25,0.5511007910029664,0.3362816929977178
squat,2,26,0.44981880768721577,0.5746859928118361
squat,2,27,0.7115681284226788,0.5255341159660091
squat,2,28,0.8028082147043216,0.5722343505853102
squat,2,29,0.49462941578910596,0.5703710224288945
squat,2,30,0.513621599710822,0.5389596986349885
squat,2,31,0.6227553318033917,0.6938662473903308
squat,2,32,0.6124506464941669,0.4340956591901863
squat,3,0,0.6114050515237175,0.3296815383329871
